name,latitude,longitude,surface_area_acres,max_depth_ft,avg_depth_ft,description
North Lake Leelanau,45.01968,-85.74183,2914,121,40.0,"Northern basin of Lake Leelanau; clear, deep glacial lake known for cold-water fish (e.g. trout, walleye)."
South Lake Leelanau,44.87361,-85.71064,5693,62,24.0,"Southern basin of Lake Leelanau; shallower and more fertile, popular for boating and fishing."
Little Traverse Lake,44.92291,-85.84099,640,54,10.0,"Small lake near Lake Michigan (Good Harbor Bay); mostly <20 ft deep with one ~55 ft hole. Offers fishing and feeds Shalda Creek."
Lime Lake,44.8934,-85.8407,670,65,,"Spring-fed lake with extensive shoal areas (<15 ft); marl bottom and sparse vegetation, outlets to Little Traverse Lake."
Big Glen Lake,44.867,-85.95,4871,130,70.0,"Large clear-blue lake in Sleeping Bear area, very deep and oligotrophic, with lake trout and cisco present."
Little Glen Lake,44.8708,-86.0248,1415,13,6.2,"Shallow lagoon-like lake adjacent to Big Glen; sandy bottom, warms in summer, popular swimming spot."
Cedar Lake (Leelanau),44.80503,-85.64455,252,47,,"Long narrow lake north of Traverse City; max depth ~45–47 ft, majority shallow. Outlet to West Bay, supports mixed fishery."
Platte Lake (Big Platte),44.6911,-86.0912,2516,90,25.0,"Benzie Co. lake on Platte River; one-third is shallow shoals, deep spots ~90 ft. Salmon migrate from Lake Michigan seasonally."
Crystal Lake,44.67035,-86.16132,9854,165,70.0,"Large oligotrophic lake with exceptional clarity; heavily used for sailing, fishing (lake trout) and tourism."
Lower Herring Lake,44.56429,-86.21339,450,60,29.0,"Deep lake near Lake Michigan; mostly >15 ft deep. Drains to Lake Michigan; natural shores, quiet recreation."
Long Lake (Grand Traverse),44.72472,-85.75619,2860,88,26.0,"Big all-sports lake with 5 islands; spring-fed, known for bass/pike fishing and public island parks."
Long Lake (Missaukee),44.35417,-85.25619,60,15,,"Small 60-acre lake in state forest; very shallow (max 15 ft); with rustic camping and panfish fishing."
Upper Herring Lake,44.56007,-86.18212,572,26,15.0,"Upper lake of the Herring Lakes (Benzie Co.); shallow (avg ~15 ft) and partly undeveloped. Outflows into Lower Herring Lake."
Lake Ann,44.7156,-85.84857,527,75,45.0,"Deep, clear lake near Village of Lake Ann; part of Platte River headwaters. Supports trout at depth and active summer recreation."
Little Platte Lake,44.7021,-86.0701,805,8,4.0,"Shallow  marshy lake on Platte River (Sleeping Bear Dunes NL); max ~8 ft. Rich in wildlife, canoeing and fishing for panfish."
Green Lake,44.6125,-85.7867,2000,102,35.0,"Deep glacial lake by Interlochen; oligotrophic, with lake trout and annual music festivals on its shore (Interlochen Arts camp)."
Duck Lake,44.6257,-85.749,1930,98,24.0,"Twin lake to Green Lake (separated by a state park); clear, supports bass/panfish and some trout. All-sports use."
Silver Lake,44.69551,-85.68568,600,96,23.4,"Kettle lake just S. of Traverse City; third deepest in GT County. Developed shores, popular for bass fishing and boating."
Lake Dubonnet,44.68629,-85.78946,502,5,3.0,"Man-made floodings (mud lake) in GT County; very shallow (~5 ft), weedy wildlife lake. Excellent for paddling and waterfowl."
Bear Lake (Manistee),44.42083,-86.14814,1744,24,13.0,"Large shallow lake in Manistee County; warm waters with abundant weeds. Good panfish and bass fishing; village of Bear Lake on east shore."
Portage Lake,44.36,-86.24028,2110,60,20.0,"Natural lake connected to Lake MI at Onekama; two deep holes (~60 ft), rest shallow. Hosts salmon from Lake MI, busy resort lake."
Manistee Lake,44.2378,-86.3033,1051,50,20.0,"Lake at Manistee River mouth (harbor lake); used for shipping and fishing. Brackish mix of river and Lake MI influences, ~50 ft deep."
